Name,rank,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
"University of Missouri, Columbia",586,0.0007749466067252797,0.05885651528933522,2.757956644927617e-05,0.4674354214221239,2.7579563720792066e-05,0.0008416809223490418,2.7579716515901964e-05,0.001033585831464734,2.757948823273182e-05,2.8655673304456286e-05
Prince Mohammad Bin Fahd university,590,0.006509982638817746,4.0644385080668144e-05,4.064281347382348e-05,4.064389213453978e-05,4.064333188580349e-05,4.0644032196723856e-05,0.4997967929703009,0.015217389642202761,4.064360473421402e-05,0.2799761678052164
UniversitÃ  Vita-Salute San Raffaele,595,0.8482976853847504,7.575944619020447e-05,7.575884956168011e-05,7.576057760161348e-05,0.00027037824474973604,7.57574071030831e-05,7.575897870992776e-05,7.57598718337249e-05,7.575929703307338e-05,7.57596135372296e-05
UniversitÃ¤t des Saarlandes,600,0.49687514909601305,1.4204300896381028e-05,1.4189609373715939e-05,1.4189619378157659e-05,0.003068071455345489,1.4189438843459357e-05,1.418971760358545e-05,1.4190180991136003e-05,1.4189665307640098e-05,1.4189832654665224e-05
Queen's University Belfast,202,0.00017127014143625274,0.00017126294551417232,0.00017126296734204516,0.00017127180035458878,0.00017126219609053805,0.0001712720622890629,0.006353769305860624,0.00017126650345744565,0.515916995704174,0.00017127610772149637
King Saud University,203,0.39389853055763524,0.4994557443205849,0.004780884584761225,0.00010884709990932606,0.00010884144649025984,0.00010884643052122556,0.00010884606308536604,0.0001088444514607545,0.000108846044895472,0.00010884514995268546
University of Ottawa,203,0.09788167849183083,0.00011901198013219982,0.00011900685058208182,0.1411840389482677,0.00011901179459528066,0.00011900808021891862,0.00011901190009666607,0.0638567004352808,0.05886276901946985,0.36150892078876495
Universitt Hamburg,205,0.3371241297245433,0.09533265789650613,0.004403014165291097,0.004293018457246944,0.00010862512863241136,0.0001086268384824507,0.02754936918790918,0.029706247129070107,0.0001086233023670502,0.041542171500623226
University of Otago,206,2.7242578653385863e-05,2.7241974748903885e-05,2.7241739189776126e-05,2.7242462238064036e-05,2.7241939278610516e-05,2.7241988391324412e-05,2.7242506803304423e-05,2.72424949798733e-05,0.49986379112488066,2.724491605476942e-05
Queen's University at Kingston,209,3.358112917339895e-05,0.014601496399336611,3.358108824613737e-05,0.7545443475246429,0.16538257896900177,3.35804870701395e-05,3.358069989189971e-05,0.04286259366199374,3.358131561981281e-05,3.358138565090485e-05
Chulalongkorn University,211,0.0009266769338864833,0.05251798589597456,0.0009266305132769048,0.0009266692795790732,0.0009266724810004234,0.0009266349079553038,0.28983257414074615,0.000926681881537661,0.0009266659326385707,0.5182673931121826
Loughborough University,212,1.770292010405683e-05,1.7703006506053498e-05,1.7702564946375787e-05,1.770283324731281e-05,1.770276094248402e-05,1.770273502188502e-05,1.7702719105727738e-05,0.42955770157277584,1.7702780041872757e-05,0.4842077958928712
Keio University,214,0.00620334669292788,0.20414975643143407,0.1184675645090465,8.753516158321872e-05,0.011850880371639505,8.753495785640553e-05,8.753628208069131e-05,0.04701540973474039,8.753306610742584e-05,0.5162457227706909
Tel Aviv University,215,0.06313780695199966,0.029333347632928053,0.040956050404929556,0.04612986324355006,0.26951341331005096,0.00015136175352381542,0.00015136683578020893,0.00015136597721721046,0.00015136099318624474,0.5500214099884033
University of Sussex,218,0.00010651169577613473,0.00010650705007719807,0.00010651082993717864,0.00010651129196048714,0.0001065109645423945,0.0001065076285158284,0.00010650891999830492,0.0001065091164491605,0.24975898857155698,0.2885619178414345
University of Lausanne,220,1.172007523564389e-05,1.1720520888047758e-05,1.1719932444975711e-05,1.1720025213435292e-05,0.9998711049556732,1.1720066140696872e-05,1.1719969734258484e-05,1.1720032944140257e-05,1.1719989743141923e-05,1.1720113434421364e-05
Radboud University ,222,0.24571046978235245,9.724419214762747e-05,0.09556300682379515,9.724625124363229e-05,0.10506673529744148,9.725428026285954e-05,9.72490306594409e-05,9.724884876050055e-05,0.1792236988148943,0.0076368449117580894
Indian Institute of Science,225,0.14856833533849567,0.48736254626419395,0.34132618410512805,0.002527112956158817,0.0025271426420658827,0.002527008531615138,0.0025270795449614525,0.0025271152844652534,0.0025270808255299926,0.002527112956158817
American University of Beirut (AUB),226,0.007582928403280675,0.12171402330204728,3.8618110920651816e-05,0.13453512743581086,3.861869117827155e-05,0.008744260647290503,0.021521971910260618,3.8618674807366915e-05,0.000989748174106353,0.2437463477253914
University of GÃ¶ttingen,232,0.36690003991679987,5.2633786253863946e-05,5.26337644259911e-05,5.2634431995102204e-05,0.20726561546325684,5.263240382191725e-05,5.263430102786515e-05,5.2633600716944784e-05,5.2633766244980507e-05,0.0037478044050658355
Heriot-Watt University,235,0.00010638739695423283,0.00010638664753059857,0.00010638345338520594,0.00010638517051120289,0.04565032362006605,0.00010638161256792955,0.00010638270396157168,0.00010638405365170911,0.10022078834663262,0.45345109328627586
UniversitÃ© de Paris-CitÃ©,236,0.18348649516701698,0.6211081445217133,0.013180801225644245,3.794235544773983e-05,0.10843969373763684,3.794078111241106e-05,3.794133044721093e-05,3.7942553717584815e-05,0.009888291869174282,0.030057281769586552
Victoria University of Wellington,241,6.597960600629449e-05,6.597975698241498e-05,6.597854189749341e-05,6.598155596293509e-05,6.597995161428116e-05,6.597799801966175e-05,6.597951323783491e-05,6.597860920010135e-05,0.47521276444786054,0.024523281050278456
La Trobe University,242,0.054804864717880264,0.0004170618049101904,0.00041706007323227823,0.045605441206134856,0.00041706014599185437,0.000417058530729264,0.0004170757165411487,0.0004170652537140995,0.36540493517532013,0.08773850061697885
Griffith University,243,5.605286241916474e-05,5.605224578175694e-05,5.605226397165097e-05,0.03518179405546107,0.024737354018725455,0.006399464034984703,5.605150181509089e-05,0.01863230579328956,0.0725979802209622,0.49605585634708405
Technical University of Darmstadt,246,0.3429089880664833,0.0002886583170038648,0.00028865884814877063,0.0002886531947297044,0.32086700201034546,0.000288650429865811,0.00028866142383776605,0.0002886531947297044,0.00028866992943221703,0.022739214517059736
Charles University,248,0.29052904501259036,5.232183866610285e-05,5.2321523980936036e-05,5.232149669609498e-05,5.2321887778816745e-05,5.2319399401312694e-05,5.232111107034143e-05,0.20926162852447305,5.232214243733324e-05,5.2321667681098916e-05
University of Antwerp,248,0.43684520944952965,0.08819985203444958,7.292046393558849e-05,7.292007830983493e-05,7.292014743143227e-05,7.291931797226425e-05,7.291982910828665e-05,0.02338603995485755,0.014228907586584683,0.007747383981040912
Politecnico di Torino,252,0.312183678150177,1.4092065612203442e-05,0.3510111310215507,1.4092184301262023e-05,0.003174956634211412,1.409214155501104e-05,1.4595047559851082e-05,0.0048807068419591815,1.4092108358454425e-05,0.00013345526804187102
University of Macau,254,0.20159227028489113,0.013955610789707862,0.14896144502563402,0.0001328236685367301,0.1930784061551094,0.00013282339205034077,0.00013282616782817058,0.00013282826330396347,0.0001328264297626447,0.32959209382534027
University of Canterbury | Te Whare WÄnanga o Waitaha,256,0.004623970897227991,4.166515645920299e-05,4.166676262684632e-05,0.02431731666001724,4.16662405768875e-05,4.1665467506390996e-05,4.166591679677367e-05,0.03766809403896332,0.3126644212134124,0.16254612617194653
Maastricht University ,256,0.21070188576777582,0.004048731112561654,5.940046685282141e-05,5.940124719927553e-05,0.02692621729511302,0.010128129384611384,5.939854963799007e-05,5.940023766015656e-05,0.2523084312051651,5.940083246969152e-05
University of Warsaw ,262,0.5406763106584549,0.00012103442350053228,0.00012103310291422531,0.00012103564222343266,0.00012103385233785957,0.00012103450353606604,0.0001210363261634484,0.00012104117558919825,0.00012104013876523823,0.00012103899280191399
University of Colorado Boulder,264,0.00029095003719703527,0.011496548887407698,3.036663019884145e-05,0.9179555475711823,0.055302832275629044,0.0007438540751536493,3.0366521059477236e-05,0.010085061891004443,3.0365072234417312e-05,0.0009671957923274022
Deakin University,266,0.001939603767823428,0.0019395287963561714,0.0019395325216464698,0.001939569425303489,0.001939518901053816,0.001939555222634226,0.001939526991918683,0.0019394757109694183,0.0019399228040128946,0.6235229074954987
North Carolina State University,274,0.01300655206614465,5.006577885069419e-05,5.006600986234844e-05,0.3516610795049928,5.006603532820009e-05,5.006543506169692e-05,5.006645733374171e-05,5.006642095395364e-05,0.0014204498656908982,0.23608848452568054
University of Milan,276,0.8846869170665741,0.11248275078833103,6.831517021055333e-05,0.001490139655288658,6.831495193182491e-05,6.831722021161113e-05,6.831498831161298e-05,6.831680184404831e-05,0.0007070552910590777,6.83171037962893e-05
Indian Institute of Technology Kanpur (IITK),278,1.5061869362398284e-05,0.9878749847412109,1.5061669728311244e-05,1.5061612430145033e-05,0.011974396950336086,1.5061245903780218e-05,1.5061366411828203e-05,1.5061715657793684e-05,1.506151875219075e-05,1.506164198872284e-05
Stellenbosch University,283,0.36292796581983566,3.9250437112059444e-05,3.9249785913852975e-05,0.012263263772183564,3.9249478504643776e-05,3.924949669453781e-05,0.3508662222429848,3.924994598492049e-05,0.10297651725522883,0.04198865592479706
Taylor's University,284,0.16818103229797998,3.3241968594666105e-05,3.324093086121138e-05,0.16058164870719338,3.324149383843178e-05,0.06347591464236757,0.009952535267075291,3.324096724099945e-05,0.0038646297844024957,0.5937448292970657
University College Cork,292,4.6585601012338884e-05,4.658534089685418e-05,4.658427133108489e-05,0.003999063663286506,4.658553370973095e-05,4.6585042582591996e-05,4.658457328332588e-05,4.6585857489844784e-05,0.6655931919813156,4.658603575080633e-05
